======================================================================
  LINUX PRIVILEGE ESCALATION AUDIT REPORT
  Generated : 2026-05-30 11:40:35
  Host      : LAPTOP-B389URC8
  User      : root
  OS        : Ubuntu 26.04 LTS
  Kernel    : 6.6.114.1-microsoft-standard-WSL2
======================================================================

  SUMMARY: 133 HIGH | 70 MEDIUM | 0 LOW findings


────────────────────────────────────────────────────────────
  [WEAK PERMISSIONS]
────────────────────────────────────────────────────────────
  [MEDIUM] /etc/ethertypes
           
  [MEDIUM] /etc/vim/vimrc.tiny
           
  [MEDIUM] /etc/vim/vimrc
           
  [MEDIUM] /etc/magic
           
  [MEDIUM] /etc/profile.d/01-locale-fix.sh
           
  [MEDIUM] /etc/profile.d/bash_completion.sh
           
  [MEDIUM] /etc/profile.d/gawk.sh
           
  [MEDIUM] /etc/profile.d/Z99-cloudinit-warnings.sh
           
  [MEDIUM] /etc/profile.d/gawk.csh
           
  [MEDIUM] /etc/profile.d/apps-bin-path.sh
           
  [MEDIUM] /etc/profile.d/Z97-byobu.sh
           
  [MEDIUM] /etc/profile.d/update-motd.sh
           
  [MEDIUM] /etc/profile.d/Z99-cloud-locale-test.sh
           
  [MEDIUM] /etc/crontab
           
  [MEDIUM] /etc/subgid
           
  [MEDIUM] /etc/protocols
           
  [MEDIUM] /etc/console-setup/compose.ISO-8859-3.inc
           
  [MEDIUM] /etc/console-setup/compose.GEORGIAN-ACADEMY.inc
           
  [MEDIUM] /etc/console-setup/cached_ISO-8859-1.acm.gz
           
  [MEDIUM] /etc/console-setup/remap.inc
           
  [MEDIUM] /etc/console-setup/compose.ISO-8859-16.inc
           
  [MEDIUM] /etc/console-setup/vtrgb.vga
           
  [MEDIUM] /etc/console-setup/compose.ISO-8859-5.inc
           
  [MEDIUM] /etc/console-setup/compose.ISO-8859-10.inc
           
  [MEDIUM] /etc/console-setup/compose.ISO-8859-8.inc
           
  [MEDIUM] /etc/console-setup/cached_setup_terminal.sh
           
  [MEDIUM] /etc/console-setup/compose.ISO-8859-2.inc
           
  [MEDIUM] /etc/console-setup/compose.ISO-8859-11.inc
           
  [MEDIUM] /etc/console-setup/compose.CP1251.inc
           
  [MEDIUM] /etc/console-setup/compose.ISIRI-3342.inc
           
  [MEDIUM] /etc/console-setup/compose.GEORGIAN-PS.inc
           
  [MEDIUM] /etc/console-setup/compose.ISO-8859-1.inc
           
  [MEDIUM] /etc/console-setup/compose.IBM1133.inc
           
  [MEDIUM] /etc/console-setup/compose.CP1256.inc
           
  [MEDIUM] /etc/console-setup/compose.ISO-8859-14.inc
           
  [MEDIUM] /etc/console-setup/ISO-8859-1.acm
           
  [MEDIUM] /etc/console-setup/Uni2-Fixed16.psf.gz
           
  [MEDIUM] /etc/console-setup/compose.ISO-8859-7.inc
           
  [MEDIUM] /etc/console-setup/compose.KOI8-R.inc
           
  [MEDIUM] /etc/console-setup/cached_UTF-8_del.kmap.gz
           
  [MEDIUM] /etc/console-setup/compose.CP1255.inc
           
  [MEDIUM] /etc/console-setup/cached_Uni2-Fixed16.psf.gz
           
  [MEDIUM] /etc/console-setup/compose.ISO-8859-6.inc
           
  [MEDIUM] /etc/console-setup/compose.KOI8-U.inc
           
  [MEDIUM] /etc/console-setup/cached_ISO-8859-1_del.kmap.gz
           
  [MEDIUM] /etc/console-setup/compose.VISCII.inc
           
  [MEDIUM] /etc/console-setup/compose.ARMSCII-8.inc
           
  [MEDIUM] /etc/console-setup/compose.ISO-8859-15.inc
           
  [MEDIUM] /etc/console-setup/compose.ISO-8859-9.inc
           
  [MEDIUM] /etc/console-setup/compose.TIS-620.inc
           
  [MEDIUM] /
           
  [MEDIUM] /etc
           
  [MEDIUM] /etc/vim
           
  [MEDIUM] /etc/profile.d
           
  [MEDIUM] /etc/console-setup
           
  [MEDIUM] /etc/netplan
           
  [MEDIUM] /etc/rc6.d
           
  [MEDIUM] /etc/rc1.d
           
  [MEDIUM] /etc/dpkg
           
  [MEDIUM] /etc/dpkg/dpkg.cfg.d
           
  [MEDIUM] /etc/dpkg/origins
           
  [MEDIUM] /etc/ssh
           
  [MEDIUM] /etc/ssh/ssh_config.d
           
  [MEDIUM] /etc/networkd-dispatcher
           
  [MEDIUM] /etc/networkd-dispatcher/no-carrier.d
           
  [MEDIUM] /etc/networkd-dispatcher/dormant.d
           
  [MEDIUM] /etc/networkd-dispatcher/routable.d
           
  [MEDIUM] /etc/networkd-dispatcher/carrier.d
           
  [MEDIUM] /etc/networkd-dispatcher/off.d
           
